,backers_count,category,pledged,state,blurb_length,goal_in_usd,campaign_duration,sub_category
5833,1,dance,100.0,0,19.0,23000.0,30,residencies
5834,4,design,225.0,1,18.0,132.01,30,graphic design
5835,49,dance,2185.5,1,12.0,2000.0,21,performances
5836,18,crafts,758.0,1,18.0,500.0,31,diy
5837,20,dance,1372.0,1,18.0,1100.0,30,performances
5838,2,crafts,2.0,0,18.0,2542.8,50,knitting
5839,75,design,2920.0,0,19.0,5134.98,30,toys
5840,61,fashion,2525.0,1,8.0,1300.0,30,accessories
5841,55,fashion,4045.29,1,12.0,355.69,12,accessories
5842,3,design,130.0,0,24.0,2000.0,60,interactive design
5843,0,design,0.0,0,15.0,7220.68,30,architecture
5844,4,design,31.0,0,19.0,4500.0,45,architecture
5845,363,fashion,98363.0,1,10.0,40000.0,36,apparel
5846,44,design,2190.0,0,18.0,7894.2,29,interactive design
5847,0,design,0.0,0,25.0,13000.0,30,interactive design
5848,13,crafts,1000.0,1,15.0,1000.0,30,woodworking
5849,78,"dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http:",17102.0,1,20.0,16700.0,33,
5850,17,crafts,1504.0,1,17.0,2103.07,45,woodworking
5851,16,dance,358.0,0,23.0,7513.72,30,performances
5852,3,dance,170.0,0,20.0,3337.69,51,performances
5853,2,crafts,40.0,0,14.0,1000.0,30,woodworking
5854,28,fashion,3635.0,1,13.0,2500.0,30,apparel
5855,33,"dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http:",6104.0,1,23.0,5000.0,39,
5856,86,fashion,20160.0,1,21.0,20000.0,30,apparel
5857,1,dance,1.0,0,11.0,32018.0,30,performances
5858,8,design,379.0,0,25.0,175000.0,60,architecture
5860,2,crafts,16.29,0,7.0,3791.97,60,printing
5861,3,crafts,17.0,0,14.0,600.0,30,knitting
5862,32,dance,5008.0,1,22.0,5000.0,32,performances
5863,29,crafts,2175.0,1,26.0,2222.84,29,knitting
5864,1536,design,116010.0,1,11.0,500.0,45,product design
5865,121,"design"",""position"":5,""color"":2577151,""urls"":{""web"":{""discover"":""http:",4830.0,1,16.0,5393.62,30,
5866,26,"design"",""position"":5,""color"":2577151,""urls"":{""web"":{""discover"":""http:",1112.0,1,10.0,376.3,20,
